date,address,type,WAT,risk_level,risk_description
2023-09-21,0x2258cdbae4ceb1f5c56c809bb66bc8dd4919cb77,General_Trending_Risky,505797,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xfa500178de024bf43cfa69b7e636a28ab68f2741,General_Trending_Risky,174545,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x2eeff21c71ae38f9c34496cd9250c0d186dcd988,General_Trending_Risky,150677,3,"The address is blacklisted based on threat intelligence or manual analysis.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-21,0x45c36b3ee5f6c9b4b494515b21a59b8b78336536,General_Trending_Risky,90749,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xffe811714ab35360b67ee195ace7c10d93f89d8c,General_Trending_Risky,81609,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x3775c8125ee7d07ed046ac7b92dcdf95bfa5e63a,General_Trending_Risky,73039,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x346668d355f22aaddda10eef35f9ba86ec558652,General_Trending_Risky,72975,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x802b65b5d9016621e66003aed0b16615093f328b,General_Trending_Risky,58673,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x8b80b49c1705e22988b64a35242a16d5c4e45542,General_Trending_Risky,53760,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x0000000000b35ae47b12b8ccf2f8d51e208760c8,General_Trending_Risky,51537,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x98f39d0f8c67885071cc99c5af1d4cacbcc89b0c,General_Trending_Risky,50512,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xd3d2fb3165def479310144e37e68c1e824526e36,General_Trending_Risky,49788,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0xe01806f66abcd460a7eb38ec723cc644c3e5833c,General_Trending_Risky,47266,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0xc198c3b7b970cbac315614cf27a1b7eb332048d6,General_Trending_Risky,45579,3,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-21,0x0000000000275508225df0cca6a8a5ba83357a9a,General_Trending_Risky,41939,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xe71a487706a065ae0947576f8e591732360d39fb,General_Trending_Risky,41928,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xdc35505fbf46605f61014b9b2ac96826c47017d5,General_Trending_Risky,41534,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x96794f03b3114f50b892b0dec79d753658c931ee,General_Trending_Risky,40787,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x2d1cfbb3468f78f916cca25f050d44b6115392e0,General_Trending_Risky,39867,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x1a8f43e01b78979eb4ef7febec60f32c9a72f58e,General_Trending_Risky,38441,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x00000000000e8716b4e2d12400a01474cdfad760,General_Trending_Risky,36616,4,"The address is blacklisted based on threat intelligence or manual analysis.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xaff3f91366d4024c465ca591784e3efcf252f572,General_Trending_Risky,34799,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xba509bdb71a29301860800e13867b59b461747af,General_Trending_Risky,32851,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0xce5452e8b6334071e207ae5c300ed12df7ecbf9e,General_Trending_Risky,29586,4,"The address is blacklisted based on threat intelligence or manual analysis.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xb8e3a1bec98d3565c3d7f12226678a539366ce29,General_Trending_Risky,29238,4,"The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xf625df2be53cac287ffbaacbe3a2e5b9d0994885,General_Trending_Risky,26259,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x04f4ba78e1503b5ac6fd522f753e2229dd3a70bf,General_Trending_Risky,25821,4,"The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x6249e7398eb7db56bc57cfb32f1976b2eeccdfbb,General_Trending_Risky,25615,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x441ccc7891d55efd804d909281de8889317a2ab9,General_Trending_Risky,25007,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x0000000000cc1ffb95df1486af6dacb26d6d1af0,General_Trending_Risky,24482,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x1f853fe0f88e3236ccc4d5feaf60b2a416a17fa5,General_Trending_Risky,24442,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x0000000000016a723d0d576df7dc79ec149ac760,General_Trending_Risky,23977,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x00000000004712b0169adce3dcf583fada3dc0e0,General_Trending_Risky,23413,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0xb9331844b48b50265489d2f1ff8d17dfeaded843,General_Trending_Risky,22706,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xb85e78af0fb52a371bfb7c07378dc58cefd75402,General_Trending_Risky,22585,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x00000000000f0d39a566a8e773e9977b45e5cbd8,General_Trending_Risky,21772,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xcecce97529effc360f68b3f26eef4ad74ebf5705,General_Trending_Risky,21375,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x31d1fbc8b951ea1ad9ac22ec06d85c806e44aecb,General_Trending_Risky,20613,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x04f46cdfe8dd348e41902eef1aff19ace1661f4c,General_Trending_Risky,20467,4,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-21,0x62f9a681cc76ae5f63c64ff6f1b22b94753313e2,General_Trending_Risky,20128,5,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-21,0xcfa40a7ae369ba43b71348a66712f44e37a5b0a1,General_Trending_Risky,19950,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x000000000027583d895e5c06b7b9e96762c1e165,General_Trending_Risky,19718,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x5231eadd958cdd6f0e60f948f2ad64ad870764f6,General_Trending_Risky,19083,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x918f5be29759552b2bec5f9a1eb049c3060eb108,General_Trending_Risky,18505,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xfdc9018af0e37abf89233554c937eb5068127080,General_Trending_Risky,18241,4,The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x000000000091c4f781762b78ca44e68ff1ed84ae,General_Trending_Risky,17748,4,"The address is blacklisted based on threat intelligence or manual analysis.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xf32b7c76a0e6c9929c68d69aa0acddd67b2ec0d1,General_Trending_Risky,17280,3,"The address is related to a coin mixer platform such as Tornado.Cash, which could mean some potential risks, please be careful of scam risk"
2023-09-21,0x13fd16538ff8b3aea324bc4d2863eb9ea78e1691,General_Trending_Risky,17228,3,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-21,0xef2b07b1fec00caccdd8dadeaa25900c808ca3dd,General_Trending_Risky,17190,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x76f7f5f06a810bfc8055991ef01ec34ccc02a226,General_Trending_Risky,16816,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x4cb680a2589d742c30556e359a352f9c511eef54,General_Trending_Risky,16695,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xa835518bfb844820be6e623d167b7471e92ac6b7,General_Trending_Risky,16588,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xaab1b31097f687bbd2cf661a13a4ae153c2248aa,General_Trending_Risky,16291,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x4fe59adcf621489ced2d674978132a54d432653a,General_Trending_Risky,15690,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x377b40a4ab2b8bbc40c5175e7a89f79cdd80ad68,General_Trending_Risky,14455,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x8416a4b66369b4b8e0e7473e2be0d604c6c922f9,General_Trending_Risky,14450,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-21,0x8cf72c804bb61ccb3e4580053c471f5b750ca7b4,General_Trending_Risky,14156,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x00000000001f8b68515efb546542397d3293ccfd,General_Trending_Risky,13810,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x402f3d3c14843ff0988be69c1042b4e71a014a7d,General_Trending_Risky,13649,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xc95615e6711a356671f7deb408f689d6cc2bec20,General_Trending_Risky,13402,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xe19417837d8e61f17dfae2e6a11b1e4810dae2a5,General_Trending_Risky,13277,3,"The address is blacklisted based on threat intelligence or manual analysis.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-21,0xf8883d67b7fcdf68e8e100368b0f26b8f9ab91e8,General_Trending_Risky,13237,3,"The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-21,0x76d9a7c6164de3bc4d95ef0c011d3d22eb8b4d60,General_Trending_Risky,13070,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-21,0x285a3ac600cfb62875c86a2a958eb1b71bc22415,General_Trending_Risky,12986,4,"The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xd5cd60bbd2db3abbf3a9ca11381c8c4eb6f01ea3,General_Trending_Risky,12879,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x685bfdd3c2937744c13d7de0821c83191e3027ff,General_Trending_Risky,12844,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x00000000004e660d7929b04626bbf28cbecce534,General_Trending_Risky,12475,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x89c050cd95c73a9354fcf02dca36e70d3cc8d200,General_Trending_Risky,12082,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xbfbfda373d402914d98f1f003cf9fef58b3988e1,General_Trending_Risky,11703,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xd404dfadba7240cb4e555d7e19cc1961eedced48,General_Trending_Risky,11468,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x33e0b24aaea62500ca79d33e26efe576bbf5bacf,General_Trending_Risky,11314,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-21,0x0f3343f82f19b4d41e1d57a96e3082660c44494b,General_Trending_Risky,11101,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x0aa66dc1ac1aa8b1c1f5c43d9ffaa7be2a668f62,General_Trending_Risky,10862,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xc6d285abab93d96e13c8e80ad50751cec901e12a,General_Trending_Risky,10766,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x40e1ca7b92dcebd2bc6e08e14f1e65ebdc8e492d,General_Trending_Risky,10622,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xc20a079c7962d9fc92173cda349e80d484dfa42a,General_Trending_Risky,10528,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some backdoor function which could mean the owner has some potentially malicious intent, please be careful of rugpull risk."
2023-09-21,0xc0752c6f2a919d4a48eb5037189d55d0c7f67b43,General_Trending_Risky,10481,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0xed5a2bdd637d2426a5680abeaa185b51b6cd2d0f,General_Trending_Risky,10185,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-21,0x0000000000001b0ead393ec554c5230004590aa4,General_Trending_Risky,10167,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x0000000000f92b9350f41fa6cd93be16ff7649db,General_Trending_Risky,10069,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xae90ca218f9c3b1aa84af33a7907e4890ec6a167,General_Trending_Risky,9946,4,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-21,0xefa48952f3f82ba7fd1b45b1a993c362bf043571,General_Trending_Risky,9574,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x000000000003a3c2878a1df56a486c9683220456,General_Trending_Risky,9423,4,The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-21,0x1514c766127378ea9653f9f4428fe25f3fd256c3,General_Trending_Risky,9011,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xf81b573680dbb84b80be5aeacbc4f2f08107f85b,General_Trending_Risky,8939,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x55d3ab24f818f37567acbc4b422a39f263f5fa39,General_Trending_Risky,8795,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x4799c398bf0c202a985149796524c34043d62df9,General_Trending_Risky,8771,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-21,0x6177a792fb862e13b8d9007d04c5128a20109ced,General_Trending_Risky,8722,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xbd92352867559c33e74bd534074220eaf3a67b97,General_Trending_Risky,8540,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0x9c1529ede01ce52630f54b2424efc0e198c3638f,General_Trending_Risky,8448,4,"The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-21,0xbec01c27a822b089de4c30e47bff3acbc37e281f,General_Trending_Risky,8148,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
